annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;adresse;nombre_de_sites;consommation_annuelle_totale_de_ladresse_mwh;code_grand_secteur;code_categorie_consommation;code_secteur_naf2;code_commune;nom_commune;code_epci;code_departement;code_region;tri_des_adresses
2022;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;160.052;INDUSTRIE;ENT;15;80001;Abbeville;200070993;80;32;192
2023;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;468.404;TERTIAIRE;ENT;68;80001;Abbeville;200070993;80;32;193
2022;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;130.374;TERTIAIRE;ENT;49;80001;Abbeville;200070993;80;32;193
2024;800010401;Faubourg de la Bouvaque;;;;PARC ACTIVITES DU SCANDON;PARC ACTIVITES DU SCANDON;1;629.155;TERTIAIRE;ENT;70;80001;Abbeville;200070993;80;32;193
2021;620040101;Vieil Achicourt;90;;RUE;MARC LANVIN;90 RUE MARC LANVIN;1;56.821;TERTIAIRE;ENT;49;62004;Achicourt;200033579;62;32;193
2023;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;21.737;TERTIAIRE;ENT;71;80001;Abbeville;200070993;80;32;194
2024;800010501;La Porte au Bois;;;;PARC D'ACTIVITE;PARC D'ACTIVITE;1;79.577;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;194
2022;800010501;La Porte au Bois;;;;P A R C A C T I V I T E S D E V A U;P A R C A C T I V I T E S D E V A U;1;80.255;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;194
2021;620040101;Vieil Achicourt;1;;RUE;PASTEUR;1 RUE PASTEUR;1;48.308;TERTIAIRE;ENT;56;62004;Achicourt;200033579;62;32;194
2022;800010501;La Porte au Bois;;;;P A R C D ' A C T I V I T E D E S D;P A R C D ' A C T I V I T E D E S D;1;166.788;TERTIAIRE;ENT;70;80001;Abbeville;200070993;80;32;195
2024;800010102;Centre Ville-Saint-Vulfran;19;;RUE;PASTEUR;19 RUE PASTEUR;1;0.128;TERTIAIRE;ENT;68;80001;Abbeville;200070993;80;32;195
2021;620050000;Achiet-le-Grand (commune non irisée);1;;ROUTE;ABLAINZEVELLE;1 ROUTE ABLAINZEVELLE;1;600.703;TERTIAIRE;ENT;68;62005;Achiet-le-Grand;200035442;62;32;195
2023;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;96.924;TERTIAIRE;ENT;49;80001;Abbeville;200070993;80;32;195
2023;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;151.688;INDUSTRIE;ENT;15;80001;Abbeville;200070993;80;32;196
2022;800010401;Faubourg de la Bouvaque;;;;P A R C D A C T I V I T E S D U S;P A R C D A C T I V I T E S D U S;1;509.446;TERTIAIRE;ENT;68;80001;Abbeville;200070993;80;32;196
2024;800010501;La Porte au Bois;1;;RUE;PAUL DELIQUE;1 RUE PAUL DELIQUE;1;890.21;TERTIAIRE;ENT;85;80001;Abbeville;200070993;80;32;196
2021;620050000;Achiet-le-Grand (commune non irisée);6;;RUE;DE BAPAUME;6 RUE DE BAPAUME;1;48.144;INDUSTRIE;ENT;10;62005;Achiet-le-Grand;200035442;62;32;196
2021;620050000;Achiet-le-Grand (commune non irisée);1;;RUE;DE L EGALITE;1 RUE DE L EGALITE;1;137.581;INDUSTRIE;ENT;25;62005;Achiet-le-Grand;200035442;62;32;197
2023;800010401;Faubourg de la Bouvaque;;;VOIE;MICHEL DEBRAY;VOIE MICHEL DEBRAY;1;69.619;INDUSTRIE;ENT;25;80001;Abbeville;200070993;80;32;197
